Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,MYEP1005793764,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3158294267,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3159867080,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3162508782,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,c06e39c8-0739-4772-b949-42dce11768a8,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3162197015,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3155837545,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1954191186,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3160088638,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1954486921,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,MYEP1005800277,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3162162455,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3160063849,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,MYEP1005770585,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3159993180,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1953152095,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3160042180,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3161913878,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,B-3375682801623863,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1953898037,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1952351835,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3160201473,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3162115323,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1954709694,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPP1952354833,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SECONDARY OUT,2660965,19-10-2023,05:05 PM,FMPC3159621946,SLB09063515-23,"",H4050C210600181
MotherHub_YKB,MH-SEMI LARGE TAGGING,2679939,19-10-2023,05:05 PM,FMPP1954318232,"","",H4050C210600503
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3160805732,"","",H4050C210600643
MotherHub_YKB,MH-PRIMARY,2661674,19-10-2023,05:05 PM,FMPC3161764480,"","",H4050C210702039
MotherHub_YKB,MH-PRIMARY,2377870,19-10-2023,05:05 PM,FMPC3149659557,"","",H4050C210600828
MotherHub_YKB,MH-SECONDARY IN,2280656,19-10-2023,05:05 PM,FMPC3160921299,"","",H4050C210601027
MotherHub_YKB,"","",19-10-2023,05:05 PM,FMPC3159397379,"","",H4050C210600518
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPP1954536442,"","",H4050C210800844
MotherHub_YKB,MH-PRIMARY,2658480,19-10-2023,05:05 PM,FMPC3159687835,"","",H4050C210800082
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPP1952732195,"","",H4050C210600452
MotherHub_YKB,MH-PRIMARY,2661673,19-10-2023,05:05 PM,FMPC3161760518,"","",H4050C210600484
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPC3161771959,"","",H4050C210800016
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,01539161291,"","",H4050C210600246
MotherHub_YKB,MH-SECONDARY IN,2458359,19-10-2023,05:05 PM,FMPC3159918333,"","",H4050C210600437
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPC3155036947,"","",H4050C210800844
MotherHub_YKB,MH-SECONDARY IN,2660320,19-10-2023,05:05 PM,FMPC3157542035,"","",H4050C210600155
MotherHub_YKB,MH-PRIMARY,2661674,19-10-2023,05:05 PM,FMPP1954433900,"","",H4050C210702039
